#ionization-chamber; Distance from source: 22.5cm, collicator length: 8.5 cm; Time interval: 1 minute; thickness_error=0.05mm
0.00	6.50	9.40	13.0	20.1	29.3	35.7
2.30	1.60	1.56	1.27	0.86	0.63	0.52
2.13	1.67	1.62	1.23	0.98	0.66	0.5
2.27	1.61	1.61	1.12	0.87	0.62	0.58
2.06	1.47	1.54	1.26	0.78	0.86	0.55
1.87	1.74	1.48	1.45	0.94	0.45	0.62
2.05	1.58	1.37	1.25	0.91	0.65	0.55
