#window:	Lower level(V) = 0.4	Upper level(V) = 2.8
x	y	z	dist	time	counts	CountRate
60.75	-71	20.25	95.61184550044	10	7446	744.6
-60.75	-71	40.5	101.842095913232	10	6144	614.4
-40.5	-71	40.5	91.2222560562936	10	12267	1226.7
-20.25	-71	40.5	84.2099311245414	10	18002	1800.2
0	-71	40.5	81.7389136213591	10	20328	2032.8
20.25	-71	40.5	84.2099311245414	10	18099	1809.9
40.5	-71	40.5	91.2222560562936	10	12262	1226.2
60.75	-71	40.5	101.842095913232	10	5977	597.7
-60.75	-71	60.75	111.454587164459	10	4063	406.3
-40.5	-71	60.75	101.842095913232	10	8138	813.8
-20.25	-71	60.75	95.61184550044	10	11512	1151.2
0	-71	60.75	93.4428301155311	10	12819	1281.9
20.25	-71	60.75	95.61184550044	10	11334	1133.4
40.5	-71	60.75	101.842095913232	10	8265	826.5
60.75	-71	60.75	111.454587164459	10	4118	411.8
-60.75	-71	81	123.663100802139	10	2538	253.8
-40.5	-71	81	115.074975559415	10	4643	464.3
-20.25	-71	81	109.599555199827	10	6445	644.5
0	-71	81	107.712580509428	10	7046	704.6
20.25	-71	81	109.599555199827	10	6398	639.8
40.5	-71	81	115.074975559415	10	4710	471
60.75	-71	81	123.663100802139	10	2677	267.7
-60.75	-71	121.5	153.276914439194	10	876	87.6
-40.5	-71	121.5	146.43599284329	10	1433	143.3
-20.25	-71	121.5	142.173529533454	10	1752	175.2
0	-71	121.5	140.724020692986	10	1840	184
20.25	-71	121.5	142.173529533454	10	1740	174
40.5	-71	121.5	146.43599284329	10	1422	142.2
60.75	-71	121.5	153.276914439194	10	916	91.6
-60.75	-71	141.75	169.778164084784	10	506	50.6
-40.5	-71	141.75	163.628580938661	10	790	79
-20.25	-71	141.75	159.825295244526	10	1024	102.4
0	-71	141.75	158.537259027649	10	1039	103.9
20.25	-71	141.75	159.825295244526	10	953	95.3
40.5	-71	141.75	163.628580938661	10	853	85.3
60.75	-71	141.75	169.778164084784	10	519	51.9
-60.75	-71	182.25	204.80875225439	20	412	20.6
-40.5	-71	182.25	199.74061304602	20	544	27.2
-20.25	-71	182.25	196.63703872872	20	614	30.7
0	-71	182.25	195.591570626139	20	701	35.05
20.25	-71	182.25	196.63703872872	20	653	32.65
40.5	-71	182.25	199.74061304602	20	609	30.45
60.75	-71	182.25	204.80875225439	20	513	25.65

